pair	Nc	cholconc	growth	Egain	Emax
DPPC_DPPC	0	0	5.345599255884679	-85.0	-61.07188854988569
DPPC_DPPC	0	10	5.363707430315784	-85.0	-62.40778189093128
DPPC_DPPC	1	10	5.417121551118132	-72.03028967098766	-60.25201081105542
DPPC_DPPC	2	10	6.16256784944086	-84.9489275041213	-57.86687575099247
DPPC_DPPC	3	10	5.29951587444817	-71.89508658781749	-54.24534996664658
DPPC_DPPC	4	10	7.0	-78.90331686410144	-53.06795064039493
DPPC_DPPC	0	20	5.790501529508871	-85.0	-64.01505834779738
DPPC_DPPC	1	20	5.738073754577456	-71.26511634433881	-62.140061908466556
DPPC_DPPC	2	20	5.5794520397459575	-67.70009843013932	-59.13452426429441
DPPC_DPPC	3	20	5.6396362558218724	-67.07890880720473	-56.25342719515398
DPPC_DPPC	4	20	5.87616410257819	-70.34178084725163	-52.77151128708946
DPPC_DPPC	5	20	6.040477808247997	-65.0	-49.71869099631439
DPPC_DPPC	6	20	5.0	-76.95590795060127	-43.935239780557815
DPPC_DPPC	0	30	5.332165435142821	-65.0	-66.09499817226441
DPPC_DPPC	1	30	7.0	-65.0	-64.78996204751944
DPPC_DPPC	2	30	6.795215529940718	-65.0	-61.147620272047355
DPPC_DPPC	3	30	7.0	-65.0	-58.33385486363401
DPPC_DPPC	4	30	6.312555602560012	-65.0	-54.39545903932478
DPPC_DPPC	5	30	5.428491627050646	-65.0	-49.54606464377385
DPPC_DPPC	6	30	6.2869652686347335	-65.0	-47.42972704033755
DUPC_DUPC	0	0	5.303509496864303	-85.0	-63.227494051232775
DUPC_DUPC	0	10	5.5152388615934305	-85.0	-64.2385777507702
DUPC_DUPC	1	10	5.434468636915715	-85.0	-61.907988669194644
DUPC_DUPC	2	10	5.7222222085142835	-85.0	-59.51808320647846
DUPC_DUPC	3	10	6.046112173136968	-85.0	-56.80010184207919
DUPC_DUPC	4	10	5.73206006922409	-85.0	-54.10623762430083
DUPC_DUPC	0	20	5.61275447292594	-85.0	-65.35365350921404
DUPC_DUPC	1	20	5.526487886104959	-85.0	-63.13497758144618
DUPC_DUPC	2	20	5.624784310846562	-85.0	-60.722474268660456
DUPC_DUPC	3	20	5.596555027087784	-68.39937312113554	-57.9816917707274
DUPC_DUPC	4	20	6.0778198360803195	-85.0	-55.306264304775276
DUPC_DUPC	5	20	5.7767043757695635	-85.0	-52.25671633964124
DUPC_DUPC	6	20	5.917923875494118	-65.0	-49.57073396130829
DUPC_DUPC	0	30	5.979712355099835	-85.0	-66.36013278834822
DUPC_DUPC	1	30	5.314997791371632	-85.0	-64.36500169833981
DUPC_DUPC	2	30	5.8695738231033046	-85.0	-62.015233423173406
DUPC_DUPC	3	30	5.915591786416722	-85.0	-59.49968404502283
DUPC_DUPC	4	30	5.912777864631175	-73.7437694446882	-56.69436187320337
DUPC_DUPC	5	30	6.041282965482555	-85.0	-53.74514119399094
DUPC_DUPC	6	30	6.2408067551255675	-79.72728377450059	-50.56225189991852
DUPC_DPPC	0	0	5.500229500626026	-85.0	-61.60116453937644
DUPC_DPPC	0	10	5.137572201351283	-85.0	-62.59737828486387
DUPC_DPPC	1	10	5.799667463671308	-85.0	-60.23344137529023
DUPC_DPPC	2	10	6.173501896593269	-85.0	-57.93709543872283
DUPC_DPPC	3	10	5.274849159684409	-68.2911301970063	-54.020418704698386
DUPC_DPPC	4	10	5.891697919399992	-85.0	-52.579281562554435
DUPC_DPPC	0	20	5.3300771721508475	-85.0	-64.00634092896922
DUPC_DPPC	1	20	5.8495526115388845	-85.0	-61.50693262332394
DUPC_DPPC	2	20	6.234155020540408	-85.0	-59.08429503488477
DUPC_DPPC	3	20	6.0663592559087	-85.0	-56.3906908602111
DUPC_DPPC	4	20	5.627236498118878	-85.0	-52.790928365243936
DUPC_DPPC	5	20	5.589864043019059	-85.0	-49.083301346156844
DUPC_DPPC	6	20	5.621171915591369	-85.0	-47.150888458064365
DUPC_DPPC	0	30	5.3642585046124465	-85.0	-65.23886894619756
DUPC_DPPC	1	30	5.998140600002873	-85.0	-62.89454361824082
DUPC_DPPC	2	30	5.814346892737473	-78.87374651213885	-60.30558369758768
DUPC_DPPC	3	30	5.897487735501383	-65.0	-56.99670527546092
DUPC_DPPC	4	30	6.094630443237285	-85.0	-53.922086100479106
DUPC_DPPC	5	30	6.656495816479092	-65.0	-50.350149176138224
DUPC_DPPC	6	30	5.953837563759038	-65.0	-46.67710634937156
