PL	cholconc	a0	a1	a2	a3	a4
DPPC	0	-220.6693097087235	3.509794267581496	-38.742852995273424	28.639432931385414	-26.637364939806456
DPPC	10	-221.72532750732654	8.789514234240087	-45.195976022300776	26.378356075334228	-20.795310005003653
DPPC	20	-223.3148767446365	11.182283360518415	-24.886674151265726	-23.449813607231356	9.052427099706513
DPPC	30	-226.54837584758312	8.826282456815472	62.025481816828346	-206.71322238579117	113.3402193552154
DUPC	0	-197.8874429959396	0.3809580301102488	-23.22724846043411	25.034783261456845	-35.657615165097454
DUPC	10	-198.2144241389774	-5.767114535779552	-21.392325238025208	126.763192813133	-168.20406177882367
DUPC	20	-198.8725240533762	7.733958288206551	-27.639291075931126	-15.564816451437009	17.971655064222922
DUPC	30	-198.00827062208685	4.997293666646844	-67.03779318997108	105.03299213059066	-63.46285251166114
